output_label,periodo_historico,periodo_atual,secao,data_atual,dia_da_semana,antecedencia,rota_principal,sentido,tipo_assento,turno,tkm_atual,preco_atual,mult_atual,data_atualizacao
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-SAO,BHZ-SAO,leito cama individual,NOITE,181.9,,1.0,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-SAO,BHZ-SAO,leito,NOITE,149.38,,1.0,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-SAO,BHZ-SAO,semi leito,NOITE,125.95,124.36,1.0,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-SAO,BHZ-SAO,leito individual,NOITE,149.38,,1.0,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-SAO,SAO-BHZ,semi leito,NOITE,134.61,141.9,1.1774896807925173,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-SAO,SAO-BHZ,leito cama individual,NOITE,255.81,,1.1774896807925173,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-SAO,SAO-BHZ,leito,NOITE,172.5,,1.1774896807925173,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-SAO,SAO-BHZ,leito individual,NOITE,172.5,,1.1774896807925173,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-SAO,SAO-BHZ,leito cama,NOITE,255.81,,1.1774896807925173,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-SJK,BHZ-SJK,semi leito,NOITE,175.9,134.05,1.087122287006191,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-SJK,BHZ-SJK,leito,NOITE,207.9,,1.087122287006191,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-SJK,BHZ-SJK,leito individual,NOITE,207.9,,1.087122287006191,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-SJK,SJK-BHZ,semi leito,NOITE,,134.81,1.0867579852579856,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-UDI,BHZ-UDI,leito individual,NOITE,190.98,,1.0370348114659487,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-UDI,BHZ-UDI,leito,NOITE,190.98,,1.0370348114659487,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-UDI,BHZ-UDI,semi leito,NOITE,153.9,136.9,1.0370348114659487,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-UDI,UDI-BHZ,leito individual,NOITE,136.9,,1.2183773474178408,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-UDI,UDI-BHZ,leito,NOITE,136.9,,1.2183773474178408,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-UDI,UDI-BHZ,semi leito,NOITE,136.9,152.86,1.2183773474178408,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-VIX,BHZ-VIX,leito cama,NOITE,189.33,,1.012658,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-VIX,BHZ-VIX,leito cama individual,NOITE,189.33,,1.012658,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-VIX,BHZ-VIX,leito individual,NOITE,137.7,,1.012658,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-VIX,BHZ-VIX,leito,NOITE,137.7,,1.012658,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-VIX,BHZ-VIX,semi leito,NOITE,107.7,116.91,1.012658,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-VIX,VIX-BHZ,leito cama,NOITE,155.23,,1.0,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-VIX,VIX-BHZ,leito,NOITE,132.57,,1.0,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-VIX,VIX-BHZ,semi leito,NOITE,86.59,104.6,1.0,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-VIX,VIX-BHZ,leito individual,NOITE,132.57,,1.0,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-VIX,VIX-BHZ,leito cama individual,NOITE,155.23,,1.0,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BOA-MAN,BOA-MAN,semi leito,NOITE,141.5,195.9,1.145086847826087,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BOA-MAN,MAN-BOA,semi leito,NOITE,128.3,186.9,1.1433221830985916,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,CAB-JDF,JDF-CAB,semi leito,NOITE,55.9,77.97,1.044,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,CAB-RIO,CAB-RIO,semi leito,NOITE,,48.9,1.1149999999999998,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,CAB-RIO,RIO-CAB,semi leito,NOITE,33.9,56.9,1.0540142777155648,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,CAB-SAO,CAB-SAO,leito individual,NOITE,131.9,,1.1009183436532508,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,CAB-SAO,CAB-SAO,semi leito,NOITE,102.54,128.9,1.1009183436532508,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,CAB-SAO,CAB-SAO,leito,NOITE,131.9,,1.1009183436532508,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,CAB-SAO,SAO-CAB,semi leito,NOITE,128.1,142.72,1.1728814831163095,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,CAB-SAO,SAO-CAB,leito individual,NOITE,163.15,,1.1728814831163095,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,CAB-SAO,SAO-CAB,leito,NOITE,163.15,,1.1728814831163095,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,CAB-VIX,CAB-VIX,semi leito,NOITE,77.65,126.95,1.254058457711443,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,CAB-VIX,VIX-CAB,semi leito,NOITE,88.9,105.21,1.0,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,CDG-RIO,CDG-RIO,semi leito,NOITE,60.9,95.81,1.1926992857142853,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,CDG-RIO,RIO-CDG,semi leito,NOITE,71.15,102.9,1.2714111111111108,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,CGR-SAO,CGR-SAO,semi leito,NOITE,152.78,182.6,1.0998072638146166,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,CGR-SAO,CGR-SAO,leito individual,NOITE,152.78,,1.0998072638146166,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,CGR-SAO,CGR-SAO,leito,NOITE,152.78,,1.0998072638146166,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,CMP-RIO,CMP-RIO,leito,NOITE,106.73,,1.0139190476190474,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,CMP-RIO,CMP-RIO,semi leito,NOITE,106.73,96.86,1.0139190476190474,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,CMP-RIO,CMP-RIO,leito individual,NOITE,106.73,,1.0139190476190474,
