data_julho_2026,data_ref_julho_2025,eixo_sentido,rota_principal,antecedencia,pax_atual,grupos_atual,cash_atual,gmv_atual,pax_julho25,grupos_julho25,cash_julho25,gmv_julho25,ticket_medio_atual,lf_atual,yield_atual,ticket_medio_julho25,lf_julho25
2026-07-02,2025-07-03,CMP-BHZ,BHZ-CMP,30,5,2,655.5,655.5,9,2,965.32,987.1,131.1,0.052,0.216,107.25777777777779,0.086
2026-07-02,2025-07-03,BHZ-CMP,BHZ-CMP,30,1,2,128.9,128.9,10,2,1434.0,1434.0,128.9,0.011,0.212,143.4,0.109
2026-07-02,2025-07-03,BHZ-CMP,BHZ-CMP,29,2,2,289.8,289.8,10,2,1434.0,1434.0,144.9,0.022,0.243,143.4,0.109
2026-07-02,2025-07-03,CMP-BHZ,BHZ-CMP,29,5,2,655.5,655.5,9,2,965.32,987.1,131.1,0.052,0.216,107.25777777777779,0.086
2026-07-02,2025-07-03,BHZ-CMP,BHZ-CMP,28,2,2,289.8,289.8,10,2,1434.0,1434.0,144.9,0.022,0.243,143.4,0.109
2026-07-02,2025-07-03,CMP-BHZ,BHZ-CMP,28,5,2,655.5,655.5,12,2,1220.02,1241.8,131.1,0.052,0.216,101.66833333333334,0.112
2026-07-02,2025-07-03,CMP-BHZ,BHZ-CMP,27,5,2,655.5,655.5,12,2,1238.02,1259.8,131.1,0.052,0.216,103.16833333333334,0.112
2026-07-02,2025-07-03,BHZ-CMP,BHZ-CMP,27,2,2,289.8,289.8,10,2,1434.0,1434.0,144.9,0.022,0.243,143.4,0.109
2026-07-02,2025-07-03,BHZ-CMP,BHZ-CMP,26,3,2,428.7,428.7,10,2,1434.0,1434.0,142.9,0.035,0.23,143.4,0.109
2026-07-02,2025-07-03,CMP-BHZ,BHZ-CMP,26,5,2,655.5,655.5,9,2,965.32,987.1,131.1,0.052,0.216,107.25777777777779,0.086
2026-07-02,2025-07-03,BHZ-CMP,BHZ-CMP,25,3,2,428.7,428.7,10,2,1434.0,1434.0,142.9,0.035,0.23,143.4,0.109
2026-07-02,2025-07-03,CMP-BHZ,BHZ-CMP,25,5,2,655.5,655.5,10,2,1089.22,1111.0,131.1,0.052,0.216,108.922,0.095
2026-07-02,2025-07-03,CMP-BHZ,BHZ-CMP,24,5,2,655.5,655.5,10,2,1089.22,1111.0,131.1,0.052,0.216,108.922,0.095
2026-07-02,2025-07-03,BHZ-CMP,BHZ-CMP,24,4,2,589.6,589.6,10,2,1434.0,1434.0,147.4,0.045,0.241,143.4,0.109
