data_atual,data_ref_julho_2025,metrica,julho_2025,julho_2026
2026-08-01,2025-08-02,07. RPK,109984.0,185718.0
2026-08-01,2025-08-02,08. Load Factor,0.03537905486867315,0.02993677134924057
2026-08-01,2025-08-02,09. Ticket Médio,93.74557213930346,104.30741758241759
2026-08-01,2025-08-02,10. GMV,19145.9,38561.6
2026-08-02,2025-08-03,01. RASK,0.008599289099526066,0.007389684344165825
2026-08-02,2025-08-03,02. Yield,0.21786437219893706,0.2334135475333967
2026-08-02,2025-08-03,03. Buscas,3394.0,2506.0
2026-08-02,2025-08-03,04. Grupos Realizados,273.0,448.0
2026-08-02,2025-08-03,05. Pax Total,496.0,596.0
2026-08-02,2025-08-03,06. ASK,6752000.0,9683553.0
2026-08-02,2025-08-03,07. RPK,261731.0,300778.0
2026-08-02,2025-08-03,08. Load Factor,0.038763477488151656,0.03106070674679015
2026-08-02,2025-08-03,09. Ticket Médio,114.96342741935483,117.79473154362414
2026-08-02,2025-08-03,10. GMV,58062.399999999994,71558.40000000002
