regional,slot,data,data_ref_julho_2025,metrica,julho_2025,atual
Reg. MG,extra,2026-07-19,2025-07-20,07. Load Factor,,0.0
Reg. MG,extra,2026-07-19,2025-07-20,08. Ticket Médio,,
Reg. MG,extra,2026-07-19,2025-07-20,09. GMV,,0.0
Reg. MG,extra,2026-07-24,2025-07-25,01. RASK,,0.0
Reg. MG,extra,2026-07-24,2025-07-25,02. Yield,,
Reg. MG,extra,2026-07-24,2025-07-25,03. Grupos Realizados,,1.0
Reg. MG,extra,2026-07-24,2025-07-25,04. Pax Total,,0.0
Reg. MG,extra,2026-07-24,2025-07-25,05. ASK,,20654.0
Reg. MG,extra,2026-07-24,2025-07-25,06. RPK,,0.0
Reg. MG,extra,2026-07-24,2025-07-25,07. Load Factor,,0.0
